buying_price,maintenance,doors,persons,lug_boot,safety,value
very_high,very_high,2,2,small,low,unacceptable
very_high,very_high,2,2,small,medium,unacceptable
very_high,very_high,2,2,small,high,unacceptable
very_high,very_high,2,2,medium,low,unacceptable
very_high,very_high,2,2,medium,medium,unacceptable
very_high,very_high,2,2,medium,high,unacceptable
very_high,very_high,2,2,big,low,unacceptable
very_high,very_high,2,2,big,medium,unacceptable
very_high,very_high,2,2,big,high,unacceptable
very_high,very_high,2,4,small,low,unacceptable
very_high,very_high,2,4,small,medium,unacceptable
very_high,very_high,2,4,small,high,unacceptable
very_high,very_high,2,4,medium,low,unacceptable
very_high,very_high,2,4,medium,medium,unacceptable
very_high,very_high,2,4,medium,high,unacceptable
very_high,very_high,2,4,big,low,unacceptable
very_high,very_high,2,4,big,medium,unacceptable
very_high,very_high,2,4,big,high,unacceptable
very_high,very_high,2,6,small,low,unacceptable
very_high,very_high,2,6,small,medium,unacceptable
very_high,very_high,2,6,small,high,unacceptable
very_high,very_high,2,6,medium,low,unacceptable
very_high,very_high,2,6,medium,medium,unacceptable
very_high,very_high,2,6,medium,high,unacceptable
very_high,very_high,2,6,big,low,unacceptable
very_high,very_high,2,6,big,medium,unacceptable
very_high,very_high,2,6,big,high,unacceptable
very_high,very_high,3,2,small,low,unacceptable
very_high,very_high,3,2,small,medium,unacceptable
very_high,very_high,3,2,small,high,unacceptable
very_high,very_high,3,2,medium,low,unacceptable
very_high,very_high,3,2,medium,medium,unacceptable
very_high,very_high,3,2,medium,high,unacceptable
very_high,very_high,3,2,big,low,unacceptable
very_high,very_high,3,2,big,medium,unacceptable
very_high,very_high,3,2,big,high,unacceptable
very_high,very_high,3,4,small,low,unacceptable
very_high,very_high,3,4,small,medium,unacceptable
very_high,very_high,3,4,small,high,unacceptable
very_high,very_high,3,4,medium,low,unacceptable
very_high,very_high,3,4,medium,medium,unacceptable
very_high,very_high,3,4,medium,high,unacceptable
very_high,very_high,3,4,big,low,unacceptable
very_high,very_high,3,4,big,medium,unacceptable
very_high,very_high,3,4,big,high,unacceptable
very_high,very_high,3,6,small,low,unacceptable
very_high,very_high,3,6,small,medium,unacceptable
very_high,very_high,3,6,small,high,unacceptable
very_high,very_high,3,6,medium,low,unacceptable
very_high,very_high,3,6,medium,medium,unacceptable
very_high,very_high,3,6,medium,high,unacceptable
very_high,very_high,3,6,big,low,unacceptable
very_high,very_high,3,6,big,medium,unacceptable
very_high,very_high,3,6,big,high,unacceptable
very_high,very_high,4,2,small,low,unacceptable
very_high,very_high,4,2,small,medium,unacceptable
very_high,very_high,4,2,small,high,unacceptable
very_high,very_high,4,2,medium,low,unacceptable
very_high,very_high,4,2,medium,medium,unacceptable
very_high,very_high,4,2,medium,high,unacceptable
very_high,very_high,4,2,big,low,unacceptable
very_high,very_high,4,2,big,medium,unacceptable
very_high,very_high,4,2,big,high,unacceptable
very_high,very_high,4,4,small,low,unacceptable
very_high,very_high,4,4,small,medium,unacceptable
very_high,very_high,4,4,small,high,unacceptable
very_high,very_high,4,4,medium,low,unacceptable
very_high,very_high,4,4,medium,medium,unacceptable
very_high,very_high,4,4,medium,high,unacceptable
very_high,very_high,4,4,big,low,unacceptable
very_high,very_high,4,4,big,medium,unacceptable
very_high,very_high,4,4,big,high,unacceptable
very_high,very_high,4,6,small,low,unacceptable
very_high,very_high,4,6,small,medium,unacceptable
very_high,very_high,4,6,small,high,unacceptable
very_high,very_high,4,6,medium,low,unacceptable
very_high,very_high,4,6,medium,medium,unacceptable
very_high,very_high,4,6,medium,high,unacceptable
very_high,very_high,4,6,big,low,unacceptable
very_high,very_high,4,6,big,medium,unacceptable
very_high,very_high,4,6,big,high,unacceptable
very_high,very_high,5,2,small,low,unacceptable
very_high,very_high,5,2,small,medium,unacceptable
very_high,very_high,5,2,small,high,unacceptable
very_high,very_high,5,2,medium,low,unacceptable
very_high,very_high,5,2,medium,medium,unacceptable
very_high,very_high,5,2,medium,high,unacceptable
very_high,very_high,5,2,big,low,unacceptable
very_high,very_high,5,2,big,medium,unacceptable
very_high,very_high,5,2,big,high,unacceptable
very_high,very_high,5,4,small,low,unacceptable
very_high,very_high,5,4,small,medium,unacceptable
very_high,very_high,5,4,small,high,unacceptable
very_high,very_high,5,4,medium,low,unacceptable
very_high,very_high,5,4,medium,medium,unacceptable
very_high,very_high,5,4,medium,high,unacceptable
very_high,very_high,5,4,big,low,unacceptable
very_high,very_high,5,4,big,medium,unacceptable
very_high,very_high,5,4,big,high,unacceptable
very_high,very_high,5,6,small,low,unacceptable
very_high,very_high,5,6,small,medium,unacceptable
very_high,very_high,5,6,small,high,unacceptable
very_high,very_high,5,6,medium,low,unacceptable
very_high,very_high,5,6,medium,medium,unacceptable
very_high,very_high,5,6,medium,high,unacceptable
very_high,very_high,5,6,big,low,unacceptable
very_high,very_high,5,6,big,medium,unacceptable
very_high,very_high,5,6,big,high,unacceptable
very_high,high,2,2,small,low,unacceptable
very_high,high,2,2,small,medium,unacceptable
very_high,high,2,2,small,high,unacceptable
very_high,high,2,2,medium,low,unacceptable
very_high,high,2,2,medium,medium,unacceptable
very_high,high,2,2,medium,high,unacceptable
very_high,high,2,2,big,low,unacceptable
very_high,high,2,2,big,medium,unacceptable
very_high,high,2,2,big,high,unacceptable
very_high,high,2,4,small,low,unacceptable
very_high,high,2,4,small,medium,unacceptable
very_high,high,2,4,small,high,unacceptable
very_high,high,2,4,medium,low,unacceptable
very_high,high,2,4,medium,medium,unacceptable
very_high,high,2,4,medium,high,unacceptable
very_high,high,2,4,big,low,unacceptable
very_high,high,2,4,big,medium,unacceptable
very_high,high,2,4,big,high,unacceptable
very_high,high,2,6,small,low,unacceptable
very_high,high,2,6,small,medium,unacceptable
very_high,high,2,6,small,high,unacceptable
very_high,high,2,6,medium,low,unacceptable
very_high,high,2,6,medium,medium,unacceptable
very_high,high,2,6,medium,high,unacceptable
very_high,high,2,6,big,low,unacceptable
very_high,high,2,6,big,medium,unacceptable
very_high,high,2,6,big,high,unacceptable
very_high,high,3,2,small,low,unacceptable
very_high,high,3,2,small,medium,unacceptable
very_high,high,3,2,small,high,unacceptable
very_high,high,3,2,medium,low,unacceptable
very_high,high,3,2,medium,medium,unacceptable
very_high,high,3,2,medium,high,unacceptable
very_high,high,3,2,big,low,unacceptable
very_high,high,3,2,big,medium,unacceptable
very_high,high,3,2,big,high,unacceptable
very_high,high,3,4,small,low,unacceptable
very_high,high,3,4,small,medium,unacceptable
very_high,high,3,4,small,high,unacceptable
very_high,high,3,4,medium,low,unacceptable
very_high,high,3,4,medium,medium,unacceptable
very_high,high,3,4,medium,high,unacceptable
very_high,high,3,4,big,low,unacceptable
very_high,high,3,4,big,medium,unacceptable
very_high,high,3,4,big,high,unacceptable
very_high,high,3,6,small,low,unacceptable
very_high,high,3,6,small,medium,unacceptable
very_high,high,3,6,small,high,unacceptable
very_high,high,3,6,medium,low,unacceptable
very_high,high,3,6,medium,medium,unacceptable
very_high,high,3,6,medium,high,unacceptable
very_high,high,3,6,big,low,unacceptable
very_high,high,3,6,big,medium,unacceptable
very_high,high,3,6,big,high,unacceptable
very_high,high,4,2,small,low,unacceptable
very_high,high,4,2,small,medium,unacceptable
very_high,high,4,2,small,high,unacceptable
very_high,high,4,2,medium,low,unacceptable
very_high,high,4,2,medium,medium,unacceptable
very_high,high,4,2,medium,high,unacceptable
very_high,high,4,2,big,low,unacceptable
very_high,high,4,2,big,medium,unacceptable
very_high,high,4,2,big,high,unacceptable
very_high,high,4,4,small,low,unacceptable
very_high,high,4,4,small,medium,unacceptable
very_high,high,4,4,small,high,unacceptable
very_high,high,4,4,medium,low,unacceptable
very_high,high,4,4,medium,medium,unacceptable
very_high,high,4,4,medium,high,unacceptable
very_high,high,4,4,big,low,unacceptable
very_high,high,4,4,big,medium,unacceptable
very_high,high,4,4,big,high,unacceptable
very_high,high,4,6,small,low,unacceptable
very_high,high,4,6,small,medium,unacceptable
very_high,high,4,6,small,high,unacceptable
very_high,high,4,6,medium,low,unacceptable
very_high,high,4,6,medium,medium,unacceptable
very_high,high,4,6,medium,high,unacceptable
very_high,high,4,6,big,low,unacceptable
very_high,high,4,6,big,medium,unacceptable
very_high,high,4,6,big,high,unacceptable
very_high,high,5,2,small,low,unacceptable
very_high,high,5,2,small,medium,unacceptable
very_high,high,5,2,small,high,unacceptable
very_high,high,5,2,medium,low,unacceptable
very_high,high,5,2,medium,medium,unacceptable
very_high,high,5,2,medium,high,unacceptable
very_high,high,5,2,big,low,unacceptable
very_high,high,5,2,big,medium,unacceptable
very_high,high,5,2,big,high,unacceptable
very_high,high,5,4,small,low,unacceptable
very_high,high,5,4,small,medium,unacceptable
very_high,high,5,4,small,high,unacceptable
very_high,high,5,4,medium,low,unacceptable
very_high,high,5,4,medium,medium,unacceptable
very_high,high,5,4,medium,high,unacceptable
very_high,high,5,4,big,low,unacceptable
very_high,high,5,4,big,medium,unacceptable
very_high,high,5,4,big,high,unacceptable
very_high,high,5,6,small,low,unacceptable
very_high,high,5,6,small,medium,unacceptable
very_high,high,5,6,small,high,unacceptable
very_high,high,5,6,medium,low,unacceptable
very_high,high,5,6,medium,medium,unacceptable
very_high,high,5,6,medium,high,unacceptable
very_high,high,5,6,big,low,unacceptable
very_high,high,5,6,big,medium,unacceptable
very_high,high,5,6,big,high,unacceptable
very_high,medium,2,2,small,low,unacceptable
very_high,medium,2,2,small,medium,unacceptable
very_high,medium,2,2,small,high,unacceptable
very_high,medium,2,2,medium,low,unacceptable
very_high,medium,2,2,medium,medium,unacceptable
very_high,medium,2,2,medium,high,unacceptable
very_high,medium,2,2,big,low,unacceptable
very_high,medium,2,2,big,medium,unacceptable
very_high,medium,2,2,big,high,unacceptable
very_high,medium,2,4,small,low,unacceptable
very_high,medium,2,4,small,medium,unacceptable
very_high,medium,2,4,small,high,acceptable
very_high,medium,2,4,medium,low,unacceptable
very_high,medium,2,4,medium,medium,unacceptable
very_high,medium,2,4,medium,high,acceptable
very_high,medium,2,4,big,low,unacceptable
very_high,medium,2,4,big,medium,acceptable
very_high,medium,2,4,big,high,acceptable
very_high,medium,2,6,small,low,unacceptable
very_high,medium,2,6,small,medium,unacceptable
very_high,medium,2,6,small,high,unacceptable
very_high,medium,2,6,medium,low,unacceptable
very_high,medium,2,6,medium,medium,unacceptable
very_high,medium,2,6,medium,high,acceptable
very_high,medium,2,6,big,low,unacceptable
very_high,medium,2,6,big,medium,acceptable
very_high,medium,2,6,big,high,acceptable
very_high,medium,3,2,small,low,unacceptable
very_high,medium,3,2,small,medium,unacceptable
very_high,medium,3,2,small,high,unacceptable
very_high,medium,3,2,medium,low,unacceptable
very_high,medium,3,2,medium,medium,unacceptable
very_high,medium,3,2,medium,high,unacceptable
very_high,medium,3,2,big,low,unacceptable
very_high,medium,3,2,big,medium,unacceptable
very_high,medium,3,2,big,high,unacceptable
very_high,medium,3,4,small,low,unacceptable
very_high,medium,3,4,small,medium,unacceptable
very_high,medium,3,4,small,high,acceptable
very_high,medium,3,4,medium,low,unacceptable
very_high,medium,3,4,medium,medium,unacceptable
very_high,medium,3,4,medium,high,acceptable
very_high,medium,3,4,big,low,unacceptable
very_high,medium,3,4,big,medium,acceptable
very_high,medium,3,4,big,high,acceptable
very_high,medium,3,6,small,low,unacceptable
very_high,medium,3,6,small,medium,unacceptable
very_high,medium,3,6,small,high,acceptable
very_high,medium,3,6,medium,low,unacceptable
very_high,medium,3,6,medium,medium,acceptable
very_high,medium,3,6,medium,high,acceptable
very_high,medium,3,6,big,low,unacceptable
very_high,medium,3,6,big,medium,acceptable
very_high,medium,3,6,big,high,acceptable
very_high,medium,4,2,small,low,unacceptable
very_high,medium,4,2,small,medium,unacceptable
very_high,medium,4,2,small,high,unacceptable
very_high,medium,4,2,medium,low,unacceptable
very_high,medium,4,2,medium,medium,unacceptable
very_high,medium,4,2,medium,high,unacceptable
very_high,medium,4,2,big,low,unacceptable
very_high,medium,4,2,big,medium,unacceptable
very_high,medium,4,2,big,high,unacceptable
very_high,medium,4,4,small,low,unacceptable
very_high,medium,4,4,small,medium,unacceptable
very_high,medium,4,4,small,high,acceptable
very_high,medium,4,4,medium,low,unacceptable
very_high,medium,4,4,medium,medium,acceptable
very_high,medium,4,4,medium,high,acceptable
very_high,medium,4,4,big,low,unacceptable
very_high,medium,4,4,big,medium,acceptable
very_high,medium,4,4,big,high,acceptable
very_high,medium,4,6,small,low,unacceptable
very_high,medium,4,6,small,medium,unacceptable
very_high,medium,4,6,small,high,acceptable
very_high,medium,4,6,medium,low,unacceptable
very_high,medium,4,6,medium,medium,acceptable
very_high,medium,4,6,medium,high,acceptable
very_high,medium,4,6,big,low,unacceptable
very_high,medium,4,6,big,medium,acceptable
very_high,medium,4,6,big,high,acceptable
very_high,medium,5,2,small,low,unacceptable
very_high,medium,5,2,small,medium,unacceptable
very_high,medium,5,2,small,high,unacceptable
very_high,medium,5,2,medium,low,unacceptable
very_high,medium,5,2,medium,medium,unacceptable
very_high,medium,5,2,medium,high,unacceptable
very_high,medium,5,2,big,low,unacceptable
very_high,medium,5,2,big,medium,unacceptable
very_high,medium,5,2,big,high,unacceptable
very_high,medium,5,4,small,low,unacceptable
very_high,medium,5,4,small,medium,unacceptable
very_high,medium,5,4,small,high,acceptable
very_high,medium,5,4,medium,low,unacceptable
very_high,medium,5,4,medium,medium,acceptable
very_high,medium,5,4,medium,high,acceptable
very_high,medium,5,4,big,low,unacceptable
very_high,medium,5,4,big,medium,acceptable
very_high,medium,5,4,big,high,acceptable
very_high,medium,5,6,small,low,unacceptable
very_high,medium,5,6,small,medium,unacceptable
very_high,medium,5,6,small,high,acceptable
very_high,medium,5,6,medium,low,unacceptable
very_high,medium,5,6,medium,medium,acceptable
very_high,medium,5,6,medium,high,acceptable
very_high,medium,5,6,big,low,unacceptable
very_high,medium,5,6,big,medium,acceptable
very_high,medium,5,6,big,high,acceptable
very_high,low,2,2,small,low,unacceptable
very_high,low,2,2,small,medium,unacceptable
very_high,low,2,2,small,high,unacceptable
very_high,low,2,2,medium,low,unacceptable
very_high,low,2,2,medium,medium,unacceptable
very_high,low,2,2,medium,high,unacceptable
very_high,low,2,2,big,low,unacceptable
very_high,low,2,2,big,medium,unacceptable
very_high,low,2,2,big,high,unacceptable
very_high,low,2,4,small,low,unacceptable
very_high,low,2,4,small,medium,unacceptable
very_high,low,2,4,small,high,acceptable
very_high,low,2,4,medium,low,unacceptable
very_high,low,2,4,medium,medium,unacceptable
very_high,low,2,4,medium,high,acceptable
very_high,low,2,4,big,low,unacceptable
very_high,low,2,4,big,medium,acceptable
very_high,low,2,4,big,high,acceptable
very_high,low,2,6,small,low,unacceptable
very_high,low,2,6,small,medium,unacceptable
very_high,low,2,6,small,high,unacceptable
very_high,low,2,6,medium,low,unacceptable
very_high,low,2,6,medium,medium,unacceptable
very_high,low,2,6,medium,high,acceptable
very_high,low,2,6,big,low,unacceptable
very_high,low,2,6,big,medium,acceptable
very_high,low,2,6,big,high,acceptable
very_high,low,3,2,small,low,unacceptable
very_high,low,3,2,small,medium,unacceptable
very_high,low,3,2,small,high,unacceptable
very_high,low,3,2,medium,low,unacceptable
very_high,low,3,2,medium,medium,unacceptable
very_high,low,3,2,medium,high,unacceptable
very_high,low,3,2,big,low,unacceptable
very_high,low,3,2,big,medium,unacceptable
very_high,low,3,2,big,high,unacceptable
very_high,low,3,4,small,low,unacceptable
very_high,low,3,4,small,medium,unacceptable
very_high,low,3,4,small,high,acceptable
very_high,low,3,4,medium,low,unacceptable
very_high,low,3,4,medium,medium,unacceptable
very_high,low,3,4,medium,high,acceptable
very_high,low,3,4,big,low,unacceptable
very_high,low,3,4,big,medium,acceptable
very_high,low,3,4,big,high,acceptable
very_high,low,3,6,small,low,unacceptable
very_high,low,3,6,small,medium,unacceptable
very_high,low,3,6,small,high,acceptable
very_high,low,3,6,medium,low,unacceptable
very_high,low,3,6,medium,medium,acceptable
very_high,low,3,6,medium,high,acceptable
very_high,low,3,6,big,low,unacceptable
very_high,low,3,6,big,medium,acceptable
very_high,low,3,6,big,high,acceptable
very_high,low,4,2,small,low,unacceptable
very_high,low,4,2,small,medium,unacceptable
very_high,low,4,2,small,high,unacceptable
very_high,low,4,2,medium,low,unacceptable
very_high,low,4,2,medium,medium,unacceptable
very_high,low,4,2,medium,high,unacceptable
very_high,low,4,2,big,low,unacceptable
very_high,low,4,2,big,medium,unacceptable
very_high,low,4,2,big,high,unacceptable
very_high,low,4,4,small,low,unacceptable
very_high,low,4,4,small,medium,unacceptable
very_high,low,4,4,small,high,acceptable
very_high,low,4,4,medium,low,unacceptable
very_high,low,4,4,medium,medium,acceptable
very_high,low,4,4,medium,high,acceptable
very_high,low,4,4,big,low,unacceptable
very_high,low,4,4,big,medium,acceptable
very_high,low,4,4,big,high,acceptable
very_high,low,4,6,small,low,unacceptable
very_high,low,4,6,small,medium,unacceptable
very_high,low,4,6,small,high,acceptable
very_high,low,4,6,medium,low,unacceptable
very_high,low,4,6,medium,medium,acceptable
very_high,low,4,6,medium,high,acceptable
very_high,low,4,6,big,low,unacceptable
very_high,low,4,6,big,medium,acceptable
very_high,low,4,6,big,high,acceptable
very_high,low,5,2,small,low,unacceptable
very_high,low,5,2,small,medium,unacceptable
very_high,low,5,2,small,high,unacceptable
very_high,low,5,2,medium,low,unacceptable
very_high,low,5,2,medium,medium,unacceptable
very_high,low,5,2,medium,high,unacceptable
very_high,low,5,2,big,low,unacceptable
very_high,low,5,2,big,medium,unacceptable
very_high,low,5,2,big,high,unacceptable
very_high,low,5,4,small,low,unacceptable
very_high,low,5,4,small,medium,unacceptable
very_high,low,5,4,small,high,acceptable
very_high,low,5,4,medium,low,unacceptable
very_high,low,5,4,medium,medium,acceptable
very_high,low,5,4,medium,high,acceptable
very_high,low,5,4,big,low,unacceptable
very_high,low,5,4,big,medium,acceptable
very_high,low,5,4,big,high,acceptable
very_high,low,5,6,small,low,unacceptable
very_high,low,5,6,small,medium,unacceptable
very_high,low,5,6,small,high,acceptable
very_high,low,5,6,medium,low,unacceptable
very_high,low,5,6,medium,medium,acceptable
very_high,low,5,6,medium,high,acceptable
very_high,low,5,6,big,low,unacceptable
very_high,low,5,6,big,medium,acceptable
very_high,low,5,6,big,high,acceptable
high,very_high,2,2,small,low,unacceptable
high,very_high,2,2,small,medium,unacceptable
high,very_high,2,2,small,high,unacceptable
high,very_high,2,2,medium,low,unacceptable
high,very_high,2,2,medium,medium,unacceptable
high,very_high,2,2,medium,high,unacceptable
high,very_high,2,2,big,low,unacceptable
high,very_high,2,2,big,medium,unacceptable
high,very_high,2,2,big,high,unacceptable
high,very_high,2,4,small,low,unacceptable
high,very_high,2,4,small,medium,unacceptable
high,very_high,2,4,small,high,unacceptable
high,very_high,2,4,medium,low,unacceptable
high,very_high,2,4,medium,medium,unacceptable
high,very_high,2,4,medium,high,unacceptable
high,very_high,2,4,big,low,unacceptable
high,very_high,2,4,big,medium,unacceptable
high,very_high,2,4,big,high,unacceptable
high,very_high,2,6,small,low,unacceptable
high,very_high,2,6,small,medium,unacceptable
high,very_high,2,6,small,high,unacceptable
high,very_high,2,6,medium,low,unacceptable
high,very_high,2,6,medium,medium,unacceptable
high,very_high,2,6,medium,high,unacceptable
high,very_high,2,6,big,low,unacceptable
high,very_high,2,6,big,medium,unacceptable
high,very_high,2,6,big,high,unacceptable
high,very_high,3,2,small,low,unacceptable
high,very_high,3,2,small,medium,unacceptable
high,very_high,3,2,small,high,unacceptable
high,very_high,3,2,medium,low,unacceptable
high,very_high,3,2,medium,medium,unacceptable
high,very_high,3,2,medium,high,unacceptable
high,very_high,3,2,big,low,unacceptable
high,very_high,3,2,big,medium,unacceptable
high,very_high,3,2,big,high,unacceptable
high,very_high,3,4,small,low,unacceptable
high,very_high,3,4,small,medium,unacceptable
high,very_high,3,4,small,high,unacceptable
high,very_high,3,4,medium,low,unacceptable
high,very_high,3,4,medium,medium,unacceptable
high,very_high,3,4,medium,high,unacceptable
high,very_high,3,4,big,low,unacceptable
high,very_high,3,4,big,medium,unacceptable
high,very_high,3,4,big,high,unacceptable
high,very_high,3,6,small,low,unacceptable
high,very_high,3,6,small,medium,unacceptable
high,very_high,3,6,small,high,unacceptable
high,very_high,3,6,medium,low,unacceptable
high,very_high,3,6,medium,medium,unacceptable
high,very_high,3,6,medium,high,unacceptable
high,very_high,3,6,big,low,unacceptable
high,very_high,3,6,big,medium,unacceptable
high,very_high,3,6,big,high,unacceptable
high,very_high,4,2,small,low,unacceptable
high,very_high,4,2,small,medium,unacceptable
high,very_high,4,2,small,high,unacceptable
high,very_high,4,2,medium,low,unacceptable
high,very_high,4,2,medium,medium,unacceptable
high,very_high,4,2,medium,high,unacceptable
high,very_high,4,2,big,low,unacceptable
high,very_high,4,2,big,medium,unacceptable
high,very_high,4,2,big,high,unacceptable
high,very_high,4,4,small,low,unacceptable
high,very_high,4,4,small,medium,unacceptable
high,very_high,4,4,small,high,unacceptable
high,very_high,4,4,medium,low,unacceptable
high,very_high,4,4,medium,medium,unacceptable
high,very_high,4,4,medium,high,unacceptable
high,very_high,4,4,big,low,unacceptable
high,very_high,4,4,big,medium,unacceptable
high,very_high,4,4,big,high,unacceptable
high,very_high,4,6,small,low,unacceptable
high,very_high,4,6,small,medium,unacceptable
high,very_high,4,6,small,high,unacceptable
high,very_high,4,6,medium,low,unacceptable
high,very_high,4,6,medium,medium,unacceptable
high,very_high,4,6,medium,high,unacceptable
high,very_high,4,6,big,low,unacceptable
high,very_high,4,6,big,medium,unacceptable
high,very_high,4,6,big,high,unacceptable
high,very_high,5,2,small,low,unacceptable
high,very_high,5,2,small,medium,unacceptable
high,very_high,5,2,small,high,unacceptable
high,very_high,5,2,medium,low,unacceptable
high,very_high,5,2,medium,medium,unacceptable
high,very_high,5,2,medium,high,unacceptable
high,very_high,5,2,big,low,unacceptable
high,very_high,5,2,big,medium,unacceptable
high,very_high,5,2,big,high,unacceptable
high,very_high,5,4,small,low,unacceptable
high,very_high,5,4,small,medium,unacceptable
